name,url,ava,county,decade,sub_appellation,current_owner,planted_by,wineries,historical_producers,raw_text,soil_types,varieties_json,ttb_variety
Craighead Vineyards,https://historicvineyardsociety.org/vineyard/craighead-vineyards,Russian River Valley,Sonoma,1900s,Santa Rosa De Laguna,Byron & Louise Craighead,Unknown,SRJC Shone Farm,"Martini & Prati Winery, Joseph Swan Winery (1993-1996)","The wine is intense and exotic, with a mouthful of concentrated cranberry and a cherry-tobacco nose. Rod Berglund of J. Swan Winery nicknamed it “the wild thing” in 1995. Craighead Vineyard was first planted in 1873. Current vine age is undetermined along with percentage of vines replanted. The specific plant date is under review with the Historic Vineyard Society Board of Directors.          ",,{},
D&D Ranch,https://historicvineyardsociety.org/vineyard/dd-ranch,Alexander Valley,Sonoma,1920s,,Stan Buchignani,Stan Buchignani,Ridge Vineyards,Gallo,"“Stan Buchignani’s ranch is located on Dutcher Creek Road, in the hills on the far western edge of the Alexander Valley appellation. The majority of the vineyard’s carignane was planted in the 1940s. Stan’s grandfather, Dominico Cerruti, planted the first block in 1927; his father, Dino, planted the last in the early 1950s. The vineyard’s climate bears a strong resemblance to that of upper Dry Creek Valley three miles to the south, where days are warm. Fog, which tends to hang low in the valley, burns off sooner in the hills. Carignane from Buchignani is complex, its fine structure much like that of a field-blend zinfandel. [There are] 13.2 acres of carignane, 5.7 acres of zinfandel, 1.3 acres of mixed zinfandel and carignane. Benchland: clay loam with stones and gravel, highly weathered, limited topsoil.          ",Clay; Clay Loam; Loam; Gravel; Rocky; Benchland,"{""Zinfandel"": null}",
Dante Dusi Ranch,https://historicvineyardsociety.org/vineyard/dante-dusi-ranch,Paso Robles,San Luis Obispo,1940s,,Dusi Family,,J Dusi,Turley,          ,,{},
David Fulton,https://historicvineyardsociety.org/vineyard/david-fulton,Napa Valley,Napa,1950s,,,,,,          ,,{},
Deaver (Mission),https://historicvineyardsociety.org/vineyard/deaver-mission,Shenandoah Valley,Amador,1870s,,Deaver family,,,Swanson,"The vineyard is dry-farmed, head-pruned, and planted on rolling hills with a soil depth of 2-8 feet. This is one of the few Mission vineyards that is still producing in California.          ",,{},
Deaver (Zinfandel),https://historicvineyardsociety.org/vineyard/deaver-zinfandel,Shenandoah Valley,Amador,1960s,,,,,,          ,,{},
Di Stasio Vineyards,https://historicvineyardsociety.org/vineyard/di-stasio-vineyards,Shenandoah Valley,Amador,1960s,,John Di Stasio,The Esola Family,"The Prisoner Wine Company
Di Stasio Vineyards & Wines
Andis Wines
Villa Toscano","Ravenswood – 1990s
Hess Collection – early 2000s
Carneros Creek Winery – 1970s thru 1990s
Sutter Home – 1970s thru 1990s
Ridge – 1970s & 1980s","This property is half of the original Esola ranch which was divided in 2001. The Prisoner Wine Company Di Stasio Vineyards & Wines Andis Wines Villa Toscano Ravenswood – 1990s Hess Collection – early 2000s Carneros Creek Winery – 1970s thru 1990s Sutter Home – 1970s thru 1990s Ridge – 1970s & 1980s Old vine Zinfandel with flavors of raspberry, cherry, plum and peppery spice Di Stasio Vineyards was formed in 2001 by the great-grandson of Giacomo Esola, John Di Stasio. Di Stasio has been involved in farming the property since 1993. When the property was divided in 2001, the Esola Ranch stayed with my aunt Lena Esola. Lena’s daughter Denise owns Esola Vineyards today. The property has been in the family since 1911. This vineyard is comprised of a series of small blocks on both hills and valleys. The characteristics are different as a result of orientation, drainage and airflow. The hillside vineyards have consistently produced fruit with the best characteristics of old vine, head-trained, dry farmed-Amador County vineyards. Most of the Zinfandel vineyards are on St George rootstock and have been head-trained and dry-farmed for most of their existence. Deficit irrigation is still used and only when necessary. The vineyards are planted on hillsides with an east/west orientation and with a 8′ x 8′ spacing.          ",Benchland,"{""Zinfandel"": null}",
Dickerson Vineyard,https://historicvineyardsociety.org/vineyard/dickerson-vineyard,Napa Valley,Napa,1920s,Oakville,The William Dickerson Family,Charlie Volpi,Ravenswood,"Louis Martini, Press Oak Winery","Lots of raspberries spice and mint. Fairly high in acid and low in pH. As a result the wines are generally bright and fresh with lots of red fruit. It is the last remaining old Zinfandel vineyard on Zinfandel Lane. It was planted by Charlie Volpi in 1920, just before Prohibition. Dr William Dickerson was instrumental in preserving the old vines before his untimely death by Tsunami.          ",,"{""Zinfandel"": null}",
Dolinsek Ranch (Frati Ranch),https://historicvineyardsociety.org/vineyard/dolinsek-ranch-frati-ranch,Russian River Valley,Sonoma,1910s,,Jim Dolinsek,,"Bedrock Wine Co., Portalupi Wine","Joseph Swan, Mara","“The oldest vines, planted in 1910, are roughly 70% Zin, and the rest is made up of Alicante Bouschet, Tempranillo, Petite Sirah, Teroldego, and a few mysterious others. When the father of Angelo Frati planted vines on a north-facing hillside of Sandy Goldridge loam in the heart of the Russian River Valley back in 1910 he had no idea how happy he was going to make a young winemaker 99 years later. The vineyard yields tiny quantities of intense fruit. It is this unique combination of fast-draining soils, cool climate, and interplanted varietals that allow the wines from Dolinsek Ranch to be utterly distinctive … The vineyard is carefully tended by the Dolinseks, who purchased the property a decade ago and have helped ensure the vineyard thrives for years to come.”          ",Loam; Sand; Benchland,"{""Alicante Bouschet"": null, ""Tempranillo"": null, ""Petite Sirah"": null, ""Teroldego"": null}",
Dommen Vineyard,https://historicvineyardsociety.org/vineyard/dommen-vineyard,Russian River Valley,Sonoma County,1930s,,Dommen Family Vineyard,,"Donkey & Goat, Berkeley CA; Gamba, Windsor, CA; Tratorrie Frams, Geyserville, CA","Bedrock Wine Co., Parmeson Wines, Carlisle, St. Francis, Piper Sonoma, Bear Boat","Donkey & Goat, Berkeley CA; Gamba, Windsor, CA; Tratorrie Frams, Geyserville, CA Bedrock Wine Co., Parmeson Wines, Carlisle, St. Francis, Piper Sonoma, Bear Boat Many of the old vines are pre1930s. The earliest plantings Sonoma County records is 1930s.  The majority of the vineyard is still dry-farmed. Though due to the drought stress and replantings of the missing vines, irrigation has been installed. The vineyard has been meticulously  maintained by Willy Dommen Sr, it is showing its age. The objective is to maintain the old vines as far into the future as possible.   We recognized the treasure our parents left us siblings and decided to rehabilitate the old vines. I remember those grapes were used to make some great wine. The old vines have undergone a substantial rehabilitation over the last few years. Jake (Viticulturist Bedrock) guided the rehab activities. The vineyard is an example of a classic Italian field blend. Primary varieties include: Carignan, Zinfandel, Alicante Bouschet and Grand Noir with a sprinkling of whites. Over 16 varieties have been identified when the vineyard was mapped by Morgan Peterson and Jake Neustadt from Bedrock.  Several varieties were identified by UC Davis DNA testing including: Clairette Blanche, Peloursin, St. Emilion, Beba, Listan Blanc and Durif Blanc. Our sub-block of Grand Noir is even mentioned in Jancis Robinson’s “Wine Grapes.”  The missing vines have since been replanted with Zin (Rockpile on St. George), and the rootstocks (St. George) have been grafted with Zin (rockpile) and Grand Noir (FPS).          ",Rocky,"{""Carignan"": null, ""Zinfandel"": null, ""Alicante Bouschet"": null, ""Clairette"": null, ""Peloursin"": null, ""Durif"": null}",
Doña Marcelinas,https://historicvineyardsociety.org/vineyard/dona-marcelinas,Santa Rita Hills,Santa Barbara,1880s,,,,,Gypsy Canyon Vineyards and Winery,"The vineyard was used to produce an Ancient Vine Angelica. This is a rich, hedonistically enjoyable wine, made from the Mission grape planted by the Spanish missionaries. It’s very sweet and decadent, with tangerine, pineapple and apricot-infused creme brûlée flavors and a generous coating of spice that finishes with a honey-rich mouth feel. We [Deborah Hall] discovered this vineyard in 1998 when we were cleaning up the property to plant our Pinot Noir. The vines were hidden in the sage and had not been farmed in over 70 years. We believe the farmer that planted them let them become overgrown with weeds to hide them during Prohibition. Over the next 3 years we carefully brought the vines back into production. They were DNA tested at UC Davis and confirmed to be Mission. I knew the padres had the most experience with this grape so I turned to the archives library at the Santa Barbara Mission and found their winemaking notes for Angelica. Today, I make an Ancient Vine Angelica fortified dessert wine and release 50 cases a year in 375ml bottles. The vines are head-trained and spacing varies from 8-10 feet rows and 5-6 feet between the vines. We are farming it from the farmers’ view in 1887.          ",,"{""Pinot Noir"": null}",
Eden Rift Vineyards – Dickinson Block,https://historicvineyardsociety.org/vineyard/eden-rift-vineyards-dickinson-block,Cienega Valley,San Benito County,1900s,,Eden Rift Vineyards,John Dickinson,Eden Rift Vineyards,"1906 – Prohibition – Palmtag Mountain Vineyard
1933 – mid-1950s – Valliant Vineyards & Sons
1950s – 1970s – Almaden
1980s – 2016 – Pietra Santa Vineyards","Located 20 miles from Monterey Bay on the eastern side of the Gabilan Mountain range. The Dickinson Block rests at 1200ft in elevation in a singular mountain canyon half a mile from the San Andreas fault line. 1906 – Prohibition – Palmtag Mountain Vineyard 1933 – mid-1950s – Valliant Vineyards & Sons 1950s – 1970s – Almaden 1980s – 2016 – Pietra Santa Vineyards The 0.7 acre vineyard is an own-rooted and head-trained Zinfandel block planted in 1906. It is planted adjacent to the historic Dickinson Home which was designed by famed architect Walter Burley Griffin. Over the vineyard’s existence, this small block has survived many property owners and vineyard replants as well as two World Wars and Prohibition. The vines are planted on sedimentary, granitic-based soil with lots of calcareous, dolomite and limestone in the subsoil.          ",Limestone,"{""Zinfandel"": null}",
Ellison Vineyard (formerly Herron Vineyard),https://historicvineyardsociety.org/vineyard/herron-vineyard,Sonoma Valley,Sonoma,1960s,Sonoma Mountain,,,,Maitre de Chai,          ,,{},
Enz Vineyard,https://historicvineyardsociety.org/vineyard/enz-vineyard,Lime Kiln Valley,,1920s,San Benito County,,,,,"Planted in 1923 in a mix of granite and limestone-rich soils, this head-trained, basket-pruned, dry-farmed, own-rooted vineyard is one of California’s treasures of viniculture.          ",Limestone,{},
Ernesto Wickenden,https://historicvineyardsociety.org/vineyard/ernesto-wickenden,Santa Maria Valley,,1960s,,Rob Knight,,,,          ,,{},
Esola,https://historicvineyardsociety.org/vineyard/esola,Shenandoah Valley,Amador,1960s,,Denise Esola,,Bedrock Wine Co.,"Amador Foothill, Ridge Vineyards","“Owned by the colorful Denise Esola, a woman who has lived enough for multiple lifetimes, this vineyard lies in the heart of Amador’s Shenandoah Valley. Her head-trained, dry-farmed Zinfandel vines are planted on granitic soils and have perhaps the smallest berries and clusters I have seen on the variety. The resulting wines are fragrant and structured expressions of the grape—among my favorite wines we make every year. The wines from the vineyard seem fitting for one run by a former dancer, they are showy, lithe, and fun!”          ",,"{""Zinfandel"": null}",
Eva Martinelli Block,https://historicvineyardsociety.org/vineyard/eva-martinelli-block,Russian River Valley,Sonoma,1930s,,Sherry Martinelli,Fred Martinelli,Old World Winery,,"Planted to Early Burgundy/Abouriou in 1930, UC Davis DNA analysis offers that it is Blue Portuguese.          ",,{},
Evangelho,https://historicvineyardsociety.org/vineyard/evangelho,Contra Costa,Contra Costa,1890s,,Bedrock Wine Co.,,"Bedrock Wine Co., Turley, Ridge Vineyards, Neyers",Cline,"Old vines planted on an ancient alluvial sandbar where the Sacramento and San Joaquin Rivers merge with the cooling waters and breezes of the San Francisco Bay. These gnarly vines are 120 years-old and are head-pruned, non- irrigated, and on their original root stock. Defying the perils of age and disease, the vines continue to offer their luscious fruit to succeeding generations of winemakers to transform them into bottle history. The spicy elegant wine is a tribute to the dedication of the Evangelho family, who continues to nurture and protect this unique vineyard. “Own-rooted on forty-foot-deep banks of beach sand alongside the Sacramento River Delta, Evangelho is a totally unique site. Planted in the 1890s, the vineyard is a viticultural survivor—surrounded by evidence of suburban sprawl encroaching on one of the last agricultural islands left in Contra Costa County. A field-blend of Zinfandel, Carignane, Mourvedre, and others, the wines are fresh, bright, and typically have some of the lowest pHs of any of the Bedrock wines.”          ",Sand; Rocky; Alluvial,"{""Zinfandel"": null, ""Mourvèdre"": null}",
Falleri,https://historicvineyardsociety.org/vineyard/falleri,Calistoga,Napa,1920s,,Sonya Spencer,Argentina Falleri,Biale,Biale,"Located at the base of Mount St. Helena, the Falleri Vineyard produces elegant, flavor-packed Zinfandel with a Calistoga influence: raspberry jam, boysenberry, a touch of prune, dust, and spice, and maybe a little dry grass or hay. These vines were planted in the early 1920s by Argentina Falleri. After her death, they were tended by her daughter, Olivia Heitz. They are now tended by her granddaughter, Sonya Spencer.          ",,"{""Zinfandel"": null}",
Fanucchi-Wood Road,https://historicvineyardsociety.org/vineyard/fanucchi-wood-road,Russian River Valley,Sonoma County,1890s,,Peter Fanucchi,,"Old vine Zinfandel planted in 1890, dry-farmed in Huichica sandy loam soil.","Williams Selyem, Hartford Family, DeLoach Vineyards","Old vine Zinfandel planted in 1890, dry-farmed in Huichica sandy loam soil.          ",Sandy Loam; Loam; Sand,"{""Zinfandel"": null}",
Fire Mountain Vineyard,https://historicvineyardsociety.org/vineyard/fire-mountain-vineyard,Lodi,San Joaquin,1930s,,JW Moore Vineyards,JW Moore Vineyards,Future production by Alliance Winery,,The vineyard name comes from the view of Mount Diablo in the distance. When the sun sets it looks like Mount Diablo is on fire. This vineyard block comes from the original family clone from the late 1800s. The vines are planted with a 9′ × 9′ spacing and rooted in sandy soil. The grapes have always been sold to Napa producers to blend with other Zinfandel grapes.          ,Sand,"{""Zinfandel"": null}",
Floodgate / Starscape Vineyard,https://historicvineyardsociety.org/vineyard/floodgate-starscape-vineyard,Russian River Valley,,1970s,,Mike Zhao,,Capiaux,,"The current-named Starscape Vineyard is located at the south end of the Middle Reach of the Russian River Valley, adjacent to Mark West Creek, and along Trenton-Healdsburg Road in Forestville. It is near Kistler Vineyard and Ritchie Vineyard. The vineyard was planted originally in 1971-1972 to Martini (? 13 or 16) clone of Pinot Noir and named Mark West Vineyard. Apparently, Mark West had a production facility in Graton but suffered through a series of ownership disruptions. The Mark West brand, production facility and wine inventory were acquired in 2012 by Derek Benham and his brother Courtney Benham, former owners of the Blackstone brand. The Mark West Vineyard was acquired by Bill Hambrecht in 2006, named Floodgate Vineyard, and became an estate vineyard for Alysian Wines and Floodgate Wine Company, brands started by Hambrecht and winemaker Gary Farrell in 2007. Hambrecht had owned the Floodgate Vineyard along with grower Fred Peterson in Anderson Valley. This 52-acre vineyard was sold to Goldeneye in 2003, became one of four estate vineyards for that winery, and eventually renamed the Narrows. This freed up the name Floodgate. Bill Hambrecht needed cash to pay $11 million in legal settlements in 2013, necessitating the sale of his prized vineyard property. Originally listed for $17 million, it was sold in June 2013 for $10.2 million. This selling price did not bring enough to pay off all of his debts. According to court documents, a disgruntled Hambrecht Wine Group employee who had won a $56,263 employment judgment prior to the sale became the owner of the property including a 150,000-case winery and the Floodgate Vineyard. However, the details of the legal battle are unclear to me and records show the Floodgate Vineyard and winery were sold at a Sonoma County sheriff’s auction for $100 on May 22, 2014. The legal trail for me ends here. When the vineyard was renamed “Starscape” is unclear. The current lessee (since 2019) and vineyard manager of the Starscape Vi",,"{""Pinot Noir"": null, ""Chardonnay"": null, ""Sauvignon Blanc"": null}",
Foppiano Vineyards – Block #3,https://historicvineyardsociety.org/vineyard/foppiano-vineyards-block-3,Russian River Valley,Sonoma County,1970s,,"Courtney Benham, Martin Ray Vineyards & Winery",,,Foppiano Wine Co.,Block 3 Foppiano Clone Petite Sirah planted in 1972 on St. George rootstock          ,,"{""Petite Sirah"": null}",
Forchini (DCV),https://historicvineyardsociety.org/vineyard/forchini-dcv,Dry Creek Valley,Sonoma,1910s,,James Forchini,Mark Kelley,Frei Brothers,"Forchini, Geyser Peak, Montevina, Trichero","Intense fruit, with flavors of mixed raspberry, blackberry, cherry, and spice. The vineyard is dry-farmed on an elevated benchland with well-drained soil and late evening sun exposure.          ",Benchland,{},
Forchini (RRV),https://historicvineyardsociety.org/vineyard/forchini-rrv,Russian River Valley,Sonoma,1910s,,James Forchini,Augustino Lituanio,"Italian Swiss Colony, Asti","Duckhorn, Forchini, Williams Selyem, Wine Guerrilla","The vineyard is in a cooler climate and close to the Russian River, resulting in late breaking morning fog throughout the summer. Extended hang time for Zinfandel results in mature tannins. The vines are dry-farmed, on St. George rootstock, and produce low yields.          ",,"{""Zinfandel"": null}",
Fredericks (Weiss),https://historicvineyardsociety.org/vineyard/fredericks-weiss,Sonoma Valley,Sonoma,1930s,,Dick Fredericks,Weiss Family,"Kenwood, Sebastiani",Turley,"Fredericks Vineyard consists of three main plantings. One section is a gentle south-facing slope that was planted in 1937. The second section was planted in 1943 and is a south-facing terraced, contoured hillside. The third section (non-historic) was planted to Zinfandel in 2008 with cuttings from the Hayne Vineyard in Napa and the DuPratt vineyard in Mendocino. This three acre section replaced a block of Ruby Cabernet dating back to the 1940s. Different sections of the vineyard can ripen a month apart due to the different exposures and aspects. All vines are head-trained and dry-farmed. The vineyard is organically farmed by Chuy Ordaz and his Palo Alto vineyard management team in cooperation with Turley Wine Cellars.          ",Benchland,"{""Zinfandel"": null}",
Fredson Ranch,https://historicvineyardsociety.org/vineyard/fredson-ranch,Alexander Valley,Sonoma,1900s,,Fredson Family,E. Carmichael,Ridge Vineyards,"Krug, Fredson Winery","Geyserville Ave. between Lytton Springs Rd. and Independence Ave. Blackberry and raspberry on the nose; mineral and elegant on the palate. These vines contribute elegance and balance to Ridge’s Geyserville bottling. Before removal due to decline and disease, the old vines on the east part of the ranch were bottled as “Carmichael” in honor of the grower who first planted vines on this ranch. The old vine blocks of Carignane and Zinfandel to the west of the railroad tracks still remain and are thriving.          ",,"{""Zinfandel"": null}",
Galleano-Cantu Ranch,https://historicvineyardsociety.org/vineyard/galleano-cantu-ranch,Cucamonga Valley,Riverside,1890s,,Galleano Family,,Galleano Winery,,"The historic Galleano Winery is located in the Cucamonga Valley in northwest Riverside County within the city boundary of Jurupa Valley. The address is 4231 Wineville Road, Jurupa Valley, CA 91752. The original Cantu Ranch was built in the late 1890s including barn, outbuildings, and vineyard. Domenico Galleano purchased the Cantu Ranch in 1927, establishing the Galleano Winery and expanding vineyard acreage. The Historic Galleano Winery is recognized as a Riverside County Historic Landmark, a State of California Point of Historic Interest, and listed in the National Register of Historic Places. Additional estate vineyard plantings are being planned by 4th generation grower/winemaker Domenic Galleano. Varieties include Alicante Bouschet (planted 1890), Cinsault, Mataro, Palomino, and Zinfandel (planted 1927). All vines are 100% certified organic, own-rooted, head-trained, and dry-farmed. The estate totals 70 acres.          ",,"{""Alicante Bouschet"": null, ""Cinsaut"": null, ""Palomino"": null, ""Zinfandel"": null}",
Gaudi Carli,https://historicvineyardsociety.org/vineyard/gaudi-carli,Napa Valley,Napa,1920s,Calistoga,Steve Torrigino,Gaudienzo Carli,Robert Biale Vineyards,,"Orange zest and rustic red fruits; bing cherry, clove, toasted walnut, parsnip, root beer and maple Planted in 1920 by Gaudi Carli, the oldest Barbera vineyard in Napa Valley has been in the same family for nearly 100 years.          ",,"{""Barbera"": null}",
Gibson Ranch,https://historicvineyardsociety.org/vineyard/gibson-ranch,Mendocino,Mendocino,1880s,McDowell Valley,Marietta Cellars,,"Bedrock, Donkey and Goat, Idlewild, Broc","McDowell Valley Vineyards, Bonny Doon","Some of the oldest plantings of Syrah, Trousseau Noir, Petite Sirah, and Grenache Gris in the state.          ",,"{""Syrah"": null, ""Trousseau"": null, ""Petite Sirah"": null, ""Grenache"": null}",
Giorgi/Ferrari Vineyard,https://historicvineyardsociety.org/vineyard/georgi-ferrari-vineyard,Lodi,San Joaquin County,1920s,,Isabel Giorgi/Ferrari,Lucero and Santina Giorgi,Delicata Winery,Gino and Robert Giorgi,          ,,{},
Giovanetti Vineyard,https://historicvineyardsociety.org/vineyard/giovanetti-vineyard,Russian River Valley,Sonoma,1890s,,Phyllis and Chuck Giovanetti,Miro and Bartholomei Giovanetti,St. Francis,Martini and Pratti,The vineyard was acquired in payment for back wages owed by the owner when he went bankrupt in the early 1900s. Miro moved to the property and lived in a tent after the 1906 Earthquake. The vineyard was originally planted to Carignane in the late 1800s but was grafted over to mixed blacks in 1910.          ,,{},
Gold Mine Ranch,https://historicvineyardsociety.org/vineyard/gold-mine-ranch,Dry Creek Valley,Sonoma,1910s,,Jan Metter,Charlie Derrick,"Armida Winery, Rafanelli, Lambert Bridge, Dehlinger",Carlisle,"When I purchased the vineyard in 1972, my neighbor, Charlie Derrick, told me that he and his brother planted the vines before going off to ride in the US Cavalry in WWI.          ",,{},
Grande,https://historicvineyardsociety.org/vineyard/grande,Napa Valley,Napa,1920s,,Rossi Family,Theodosio Grande,Biale,,"“Just east of the historic Silverado Trail and north of the town of Napa, lies an old Zinfandel vineyard that is one of our favorite historic family stories in Napa Valley. Dorothy Rossi and her son, Tony Rossi, take care of an old-vine vineyard that was planted by Dorothy’s father, Theodosio Grande, in 1920–the same year that Dorothy was born! Having arrived in Napa from Venice, Italy, Theodosio soon planted Zinfandel, pears, prunes, and walnuts. He also built a farmhouse, chicken coop, and barn–all of which still exist–as though having been preserved in some sort of agrarian time capsule. Driving into the Rossi property today is like going back in time to the early days of Napa Valley. Not much has changed. Dorothy and Tony tend daily to the vines, chickens, and orchard. Every autumn, the pickers hand-harvest perfect bunches of Zinfandel into bins. Starting in 2001, all of those Zinfandel bunches began to be delivered to the Biale winery, where we cherish the fruits of the labors of Theodosio Grande and his offspring–a genuine and sweet family tradition that daily reminds us of Napa Valley’s agricultural origins.”          ",,"{""Zinfandel"": null}",
Grandpa Bill Ranch,https://historicvineyardsociety.org/vineyard/grandpa-bill-ranch,Lodi,San Joaquin,1950s,Mokelumne River,"Tom, Mike, Bill, & Sharon Stokes",William Stokes Sr.,"Guild Winery, Allied Grape Growers, Charles Krug, Paul Masson, Benson Ferry, Bronco Wine Co, Bogle","Charles Krug (1970s-80s)
Guild (1970s)
Bronco Wine Co (1983-97)
Benson Ferry (2000)
Bogle (1997-2018)","Guild Winery, Allied Grape Growers, Charles Krug, Paul Masson, Benson Ferry, Bronco Wine Co, Bogle Charles Krug (1970s-80s) Guild (1970s) Bronco Wine Co (1983-97) Benson Ferry (2000) Bogle (1997-2018) In 1955, Bill and Ramona Stokes were convinced by their only son, Tom, to plant Old Vine Zinfandel behind the Family’s first home in Lodi. It was this vineyard that current growers and owners, Mike and William Stokes, learned to grow grapes with their Grandpa Bill. Today, their grandchildren and great grandchildren still farm these 27 acres, in addition to others in the San Joaquin County and Sacramento County.          ",,"{""Zinfandel"": null}",
Graziano Vincenzo Vineyard,https://historicvineyardsociety.org/vineyard/vincenzo-vineyard,Mendocino,Mendocino,1940s,,Gregory Graziano,"Vincenzo Graziano, Joseph Graziano and August Solomon","Graziano Family of Wines
Touchstone Winery
Longboard Vineyards
Comanche Winery","Gallo Winery 1940s – 1960s
Mendocino Vineyards 1950s -1960s
Cresta Blanca Winery 1960s – 1970s
Frey Vineyards 1970s – 2014","Located on a bench above the village of Calpella and the Russian River. About 10 miles north of the city of Ukiah, California. Graziano Family of Wines Touchstone Winery Longboard Vineyards Comanche Winery Gallo Winery 1940s – 1960s Mendocino Vineyards 1950s -1960s Cresta Blanca Winery 1960s – 1970s Frey Vineyards 1970s – 2014 This vineyard produces wines with complex aromas and flavors of ripe red fruits and berries and notes of floral and earth tones. Great tannin structure and acidity produces a wine that will age gracefully. Mendocino County has more old vine Carignane than any other coastal county of California. This and many other old vine Carignane vineyards in Mendocino County were mainstays of the famous red wines of Italian Swiss Colony, Gallo Winery (Hearty Burgundy), Cresta Blanca Winery, Sebastiani and Parducci Winery. The acreage of old vine Carignane is dwindling every year and needs to be saved. 8 acres of this 15 acre vineyard are planted to head-trained spur-pruned old vine Carignane on Saint George rootstock. Planted with 8×8 and 8×10 spacing on 2-3 ft. deep rocky white clay-loam soils. For most of its 80 years this vineyard has been organically grown and dry-farmed.          ",Clay; Loam; Rocky; Benchland,{},
Guglielmo,https://historicvineyardsociety.org/vineyard/guglielmo,Santa Clara Valley,,1930s,,,,,,          ,,{},
Hanzell Vineyards,https://historicvineyardsociety.org/vineyard/hanzell-vineyards,Sonoma Valley,Sonoma,1950s,Sonoma Valley,Alexander de Brye,Ivan Schoch,Hanzell Vineyards,Hanzell Vineyards – 1957-present,"Hanzell Vineyards’ forty-four acres of Chardonnay and Pinot Noir are planted high on the mountain slopes of the Mayacamas Range overlooking the town of Sonoma. In 1953, viticulturalist Ivan Schoch was hired by our founder, Ambassador James D Zellerbach, to plant the original six acres at Hanzell Vineyards: four acres of Chardonnay and two acres of Pinot Noir. The original planting, the Ambassador’s 1953 Vineyard, continues to produce to this day and is now the oldest Pinot Noir vineyard and the oldest continuously producing Chardonnay vineyard in North America. The Hanzell Clone Pinot Noir and Hanzell Clone Chardonnay are regarded as important heritage clones of California and the bud wood has been propagated to establish other vineyards throughout California and Oregon.          ",Benchland,"{""Chardonnay"": null, ""Pinot Noir"": null}",
Hartford,https://historicvineyardsociety.org/vineyard/hartford,Russian River Valley,Sonoma,1910s,,,,Hartford Family Wines,,"Don & Jennifer Hartford tend this head-trained vineyard in the backyard of their home on Wood Road in the Russian River Valley AVA. Planted over 100 years ago, these low yielding vines produce as little as a half ton an acre in some vintages. Intense blackberry, anise and allspice aromas and a supple texture are signatures of this unique terroir. Wood Road has well-draining, low fertility, sandy loam soils about two to three feet in depth over deeper layers of compacted sandy loam of about four to six inches. Because the Italian immigrants who planted the Wood Road Vineyard in the early 1900s wanted to ensure long vine life and moisture for their dry-farmed vines, they placed a blasting cap where each vine was to be planted and blasted through the compacted layer.          ",Sandy Loam; Loam; Sand,{},
Hawkeye Ranch,https://historicvineyardsociety.org/vineyard/hawkeye-ranch,Mendocino,,1960s,,Pete Johnson,,Martha Stouman,,          ,,{},
Hayne Vineyard,https://historicvineyardsociety.org/vineyard/hayne-vineyard,Napa Valley,Napa,1900s,St. Helena,Various Hayne family members,The Bourn/Hayne family,"Chase Cellars, Turley Wine Cellars, Carlisle Winery and Vineyards",Chase Cellars 1998-present. Turley Wine Cellars 1993-present,"Chase Cellars, Turley Wine Cellars, Carlisle Winery and Vineyards This vineyard has been owned by the same family since 1872. It was replanted with Zinfandel in 1903 after phylloxera killed the original vineyard.          ",,"{""Zinfandel"": null}",
Haynes Vineyard,https://historicvineyardsociety.org/vineyard/haynes-vineyard,Coombsville,Napa,1960s,,Lawrence Wine Estates,,Haynes Vineyard,"Enfield Wine Co.
Failla","Floral, elegant, and aromatic Pinot Noir and intensely aromatic Chardonnay with minerality and density similar to great Burgundy, sourced from the oldest Chardonnay vines in Napa Valley. First planted in 1967, Haynes Vineyard produces highly allocated wines of intent with a sense of place. Nestled in Coombsville, a coveted winemaking region just east of the city of Napa, this historic vineyard is rich with Napa history and encompasses the oldest Chardonnay and Pinot Noir vines in the valley. In 1845, Nathan Coombs purchased a large portion of land from Juarez Cayetano, part of the original Rancho Tulocay, and founded the city of Napa in 1847. But east of the Napa river, this area now known as Coombsville, was still mostly agricultural. It was prime land for crops and cattle, and in 1885, James Whitford purchased land from Nathan Coombs for exactly that purpose. Cattle. And that is what it was used for along with orchards of plum and almond trees until 1967. In 1967, the original family that purchased the land in 1885, now the Whitford/Haynes family, planted Pinot Noir and Chardonnay under the guidance of Louis M. Martini. Patricia and Duncan Haynes sold their grapes to Louis M. Martini for many years before starting their own winery in the 1980s. Influential winemaker André Tchelistcheff oversaw winemaking for Patricia and Duncan in the 1990s. Even after the family winery closed, Patricia Haynes continued to sell grapes to different wineries over the years until 2019 when she decided to sell the land. Gaylon Lawrence, as part of Lawrence Wine Estates, purchased the land from Patricia and became only the third owner of this historic property. Nico Cueva was brought on as winemaker and history becomes present day.          ",,"{""Pinot Noir"": null, ""Chardonnay"": null}",
